File id,Answer,result,None,Right,Left,   ,Epoch,Batchsize,Image Size,Learning rate,test acc
L_0_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_0_extract_8 6 9 47.jpg,L,L,0.0,0.99,99.01,,60,32,150,0.0001,96.857
L_0_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_100_extract_8 6 10 33.jpg,L,L,0.04,0.03,99.94,,60,32,150,0.0001,96.857
L_100_extract_8 6 13 15.jpg,L,N,55.42,31.06,13.52,,60,32,150,0.0001,96.857
L_100_extract_8 6 9 59.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_101_extract_8 6 10 33.jpg,L,L,0.04,0.01,99.95,,60,32,150,0.0001,96.857
L_101_extract_8 6 13 15.jpg,L,L,18.57,31.39,50.04,,60,32,150,0.0001,96.857
L_101_extract_8 6 9 59.jpg,L,L,0.0,0.01,99.99,,60,32,150,0.0001,96.857
L_102_extract_8 6 10 33.jpg,L,L,0.02,0.01,99.97,,60,32,150,0.0001,96.857
L_102_extract_8 6 13 15.jpg,L,L,1.22,2.68,96.1,,60,32,150,0.0001,96.857
L_102_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
L_103_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_103_extract_8 6 13 15.jpg,L,L,0.26,0.12,99.62,,60,32,150,0.0001,96.857
L_103_extract_8 6 9 59.jpg,L,L,0.0,0.08,99.92,,60,32,150,0.0001,96.857
L_104_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_104_extract_8 6 13 15.jpg,L,L,20.85,9.9,69.24,,60,32,150,0.0001,96.857
L_104_extract_8 6 9 59.jpg,L,L,0.0,0.05,99.95,,60,32,150,0.0001,96.857
L_105_extract_8 6 10 33.jpg,L,L,0.0,0.0,100.0,,60,32,150,0.0001,96.857
L_105_extract_8 6 13 15.jpg,L,N,82.78,0.29,16.93,,60,32,150,0.0001,96.857
L_105_extract_8 6 9 59.jpg,L,L,0.0,0.05,99.95,,60,32,150,0.0001,96.857
L_106_extract_8 6 10 33.jpg,L,L,0.01,0.0,99.99,,60,32,150,0.0001,96.857
L_106_extract_8 6 13 15.jpg,L,N,78.75,0.09,21.16,,60,32,150,0.0001,96.857
L_106_extract_8 6 9 59.jpg,L,L,0.0,0.02,99.98,,60,32,150,0.0001,96.857
